date,projected_chats,confidence_lower,confidence_upper,required_headcount,estimated_csat,estimated_sla_adherence,meets_csat_target,meets_sla_target,chats_per_tse,is_holiday,holiday_type
2025-11-08,12.4,0,40.1,3,4.7,95.0,Yes,Yes,4.1,False,
2025-11-09,12.4,0,40.2,3,4.7,95.0,Yes,Yes,4.1,False,
2025-11-10,28.3,0.5,56.1,4,4.7,95.0,Yes,Yes,7.1,False,
2025-11-11,29.9,2.1,57.6,4,4.7,95.0,Yes,Yes,7.5,False,
2025-11-12,31.8,4.0,59.6,4,4.7,95.0,Yes,Yes,8.0,False,
2025-11-13,29.5,1.7,57.3,4,4.7,95.0,Yes,Yes,7.4,False,
2025-11-14,27.1,0,54.9,4,4.7,95.0,Yes,Yes,6.8,False,
2025-11-15,12.5,0,40.3,3,4.7,95.0,Yes,Yes,4.2,False,
2025-11-16,12.5,0,40.3,3,4.7,95.0,Yes,Yes,4.2,False,
2025-11-17,28.9,1.1,56.6,4,4.7,95.0,Yes,Yes,7.2,False,
2025-11-18,30.5,2.7,58.2,4,4.7,95.0,Yes,Yes,7.6,False,
2025-11-19,32.5,4.7,60.2,4,4.7,95.0,Yes,Yes,8.1,False,
2025-11-20,30.1,2.3,57.8,4,4.7,95.0,Yes,Yes,7.5,False,
2025-11-21,27.6,0,55.4,4,4.7,95.0,Yes,Yes,6.9,False,
2025-11-22,12.6,0,40.4,3,4.7,95.0,Yes,Yes,4.2,False,
2025-11-23,12.6,0,40.4,3,4.7,95.0,Yes,Yes,4.2,False,
2025-11-24,23.8,0,51.6,4,4.7,95.0,Yes,Yes,5.9,True,thanksgiving_week
2025-11-25,25.0,0,52.8,4,4.7,95.0,Yes,Yes,6.2,True,thanksgiving_week
2025-11-26,26.5,0,54.3,4,4.7,95.0,Yes,Yes,6.6,True,thanksgiving_week
2025-11-27,12.3,0,40.1,3,4.7,95.0,Yes,Yes,4.1,True,thanksgiving
2025-11-28,11.0,0,38.8,3,4.7,95.0,Yes,Yes,3.7,True,day_after_thanksgiving
2025-11-29,11.6,0,39.3,3,4.7,95.0,Yes,Yes,3.9,True,thanksgiving_week
2025-11-30,11.6,0,39.4,3,4.7,95.0,Yes,Yes,3.9,True,thanksgiving_week
2025-12-01,25.5,0,53.2,4,4.7,95.0,Yes,Yes,6.4,False,
2025-12-02,26.8,0,54.6,4,4.7,95.0,Yes,Yes,6.7,False,
2025-12-03,28.5,0.7,56.3,4,4.7,95.0,Yes,Yes,7.1,False,
2025-12-04,26.5,0,54.3,4,4.7,95.0,Yes,Yes,6.6,False,
2025-12-05,24.4,0,52.2,4,4.7,95.0,Yes,Yes,6.1,False,
2025-12-06,11.8,0,39.6,3,4.7,95.0,Yes,Yes,3.9,False,
2025-12-07,11.8,0,39.6,3,4.7,95.0,Yes,Yes,3.9,False,
2025-12-08,26.0,0,53.7,4,4.7,95.0,Yes,Yes,6.5,False,
2025-12-09,27.3,0,55.1,4,4.7,95.0,Yes,Yes,6.8,False,
2025-12-10,29.1,1.3,56.8,4,4.7,95.0,Yes,Yes,7.3,False,
2025-12-11,27.0,0,54.8,4,4.7,95.0,Yes,Yes,6.7,False,
2025-12-12,24.9,0,52.6,4,4.7,95.0,Yes,Yes,6.2,False,
2025-12-13,11.9,0,39.7,3,4.7,95.0,Yes,Yes,4.0,False,
2025-12-14,11.9,0,39.7,3,4.7,95.0,Yes,Yes,4.0,False,
2025-12-15,26.4,0,54.2,4,4.7,95.0,Yes,Yes,6.6,False,
2025-12-16,27.9,0.1,55.6,4,4.7,95.0,Yes,Yes,7.0,False,
2025-12-17,29.6,1.9,57.4,4,4.7,95.0,Yes,Yes,7.4,False,
2025-12-18,27.5,0,55.3,4,4.7,95.0,Yes,Yes,6.9,False,
2025-12-19,25.3,0,53.1,4,4.7,95.0,Yes,Yes,6.3,False,
2025-12-20,12.0,0,39.8,3,4.7,95.0,Yes,Yes,4.0,False,
2025-12-21,10.0,0,37.8,2,4.7,95.0,Yes,Yes,5.0,True,holiday_break
2025-12-22,16.5,0,44.3,3,4.7,95.0,Yes,Yes,5.5,True,holiday_break
2025-12-23,17.2,0,45.0,3,4.7,95.0,Yes,Yes,5.7,True,holiday_break
2025-12-24,18.0,0,45.7,3,4.7,95.0,Yes,Yes,6.0,True,holiday_break
2025-12-25,16.0,0,43.8,3,4.7,95.0,Yes,Yes,5.3,True,christmas
2025-12-26,16.0,0,43.8,3,4.7,95.0,Yes,Yes,5.3,True,holiday_break
2025-12-27,10.0,0,37.8,2,4.7,95.0,Yes,Yes,5.0,True,holiday_break
2025-12-28,10.0,0,37.8,2,4.7,95.0,Yes,Yes,5.0,True,holiday_break
2025-12-29,16.8,0,44.5,3,4.7,95.0,Yes,Yes,5.6,True,holiday_break
2025-12-30,17.4,0,45.2,3,4.7,95.0,Yes,Yes,5.8,True,holiday_break
2025-12-31,18.2,0,46.0,3,4.7,95.0,Yes,Yes,6.1,True,holiday_break
2026-01-01,31.1,3.3,58.9,4,4.7,95.0,Yes,Yes,7.8,True,new_years
2026-01-02,28.5,0.7,56.2,4,4.7,95.0,Yes,Yes,7.1,False,
2026-01-03,12.4,0,40.1,3,4.7,95.0,Yes,Yes,4.1,False,
2026-01-04,12.4,0,40.2,3,4.7,95.0,Yes,Yes,4.1,False,
2026-01-05,30.4,2.6,58.2,4,4.7,95.0,Yes,Yes,7.6,False,
2026-01-06,32.2,4.4,60.0,4,4.7,95.0,Yes,Yes,8.0,False,
2026-01-07,34.4,6.6,62.1,5,4.7,95.0,Yes,Yes,6.9,False,
2026-01-08,31.7,4.0,59.5,4,4.7,95.0,Yes,Yes,7.9,False,
2026-01-09,29.0,1.3,56.8,4,4.7,95.0,Yes,Yes,7.3,False,
2026-01-10,12.5,0,40.2,3,4.7,95.0,Yes,Yes,4.2,False,
2026-01-11,12.5,0,40.3,3,4.7,95.0,Yes,Yes,4.2,False,
2026-01-12,31.0,3.3,58.8,4,4.7,95.0,Yes,Yes,7.8,False,
2026-01-13,32.9,5.1,60.6,4,4.7,95.0,Yes,Yes,8.2,False,
2026-01-14,35.1,7.3,62.9,5,4.7,95.0,Yes,Yes,7.0,False,
2026-01-15,32.4,4.6,60.2,4,4.7,95.0,Yes,Yes,8.1,False,
2026-01-16,29.6,1.9,57.4,4,4.7,95.0,Yes,Yes,7.4,False,
2026-01-17,12.6,0,40.4,3,4.7,95.0,Yes,Yes,4.2,False,
2026-01-18,12.6,0,40.4,3,4.7,95.0,Yes,Yes,4.2,False,
2026-01-19,31.7,3.9,59.5,4,4.7,95.0,Yes,Yes,7.9,False,
2026-01-20,33.6,5.8,61.3,5,4.7,95.0,Yes,Yes,6.7,False,
2026-01-21,35.9,8.1,63.7,5,4.7,95.0,Yes,Yes,7.2,False,
2026-01-22,33.1,5.3,60.9,5,4.7,95.0,Yes,Yes,6.6,False,
2026-01-23,30.2,2.5,58.0,4,4.7,95.0,Yes,Yes,7.6,False,
2026-01-24,12.7,0,40.5,3,4.7,95.0,Yes,Yes,4.2,False,
2026-01-25,12.8,0,40.5,3,4.7,95.0,Yes,Yes,4.3,False,
2026-01-26,32.4,4.6,60.1,4,4.7,95.0,Yes,Yes,8.1,False,
2026-01-27,34.3,6.5,62.1,5,4.7,95.0,Yes,Yes,6.9,False,
2026-01-28,36.7,8.9,64.4,5,4.7,95.0,Yes,Yes,7.3,False,
2026-01-29,33.8,6.0,61.6,5,4.7,95.0,Yes,Yes,6.8,False,
2026-01-30,30.9,3.1,58.6,4,4.7,95.0,Yes,Yes,7.7,False,
2026-01-31,12.9,0,40.6,3,4.7,95.0,Yes,Yes,4.3,False,
2026-02-01,12.4,0,40.1,3,4.7,95.0,Yes,Yes,4.1,False,
2026-02-02,30.7,2.9,58.4,4,4.7,95.0,Yes,Yes,7.7,False,
2026-02-03,32.5,4.7,60.2,4,4.7,95.0,Yes,Yes,8.1,False,
2026-02-04,34.7,6.9,62.5,5,4.7,95.0,Yes,Yes,6.9,False,
2026-02-05,32.0,4.2,59.8,4,4.7,95.0,Yes,Yes,8.0,False,
